Year,Position,Drivers,BRA,ZAF,BEL,SMR,FRA,MCO,CAN,USE,USA,GBR,DEU,AUT,NLD,ITA,EUR,PRT,Pts,Out of
1984,1.,N. LAUDA,-,9,-,-,9,-,6,-,-,9,6,9,6,9,3,6,72.00, 
1984,2.,A. PROST,9,6,-,9,-,4.5,4,3,-,-,9,-,9,-,9,9,71.50, 
1984,3.,E. De ANGELIS,4,-,2,4,2,1,3,6,4,3,-,-,3,-,-,2,34.00, 
1984,4.,M. ALBORETO,-,-,9,-,-,0.5,-,-,-,2,-,4,-,6,6,3,30.50, 
1984,5.,N. PIQUET,-,-,-,-,-,-,9,9,-,-,-,6,-,-,4,1,29.00, 
1984,6.,R. ARNOUX,-,-,4,6,3,2,2,-,6,1,1,-,-,-,2,-,27.00, 
1984,7.,D. WARWICK,-,4,6,3,-,-,-,-,-,6,4,-,-,-,-,-,23.00, 
1984,8.,K. ROSBERG,6,-,3,-,1,1.5,-,-,9,-,-,-,-,-,-,-,20.50, 
1984,9.,A. SENNA,-,1,1,-,-,3,-,-,-,4,-,-,-, ,-,4,13.00, 
1984,10.,N. MANSELL,-,-,-,-,4,-,1,-,1,-,3,-,4,-,-,-,13.00, 
1984,11.,P. TAMBAY,2,-,-,-,6,-,-,-,-,-,2,-,1,-,-,-,11.00, 
1984,12.,T. FABI,-,-,-,-,-, , ,4, ,-,-,3,2,-,-, ,9.00, 
1984,13.,R. PATRESE,-,3,-,-,-,-,-,-,-,-,-,-,-,4,1,-,8.00, 
1984,14.,J. LAFFITE,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,5.00, 
1984,15.,T. BOUTSEN,1,-,-,2,-,-,-,-,-,-,-,2,-,-,-,-,5.00, 
1984,16.,E. CHEEVER,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.00, 
1984,17.,S. JOHANSSON, , , , , , , , , ,-,-,-,-,3,-,-,3.00, 
1984,18.,A. De CESARIS,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3.00, 
1984,19.,P. GHINZANI,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2.00, 
1984,20.,M. SURER,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1.00, 
